AP medium,0.361,0.346,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.346,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.306,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.361,0.346,0.202,0.377,0.376,0.366,0.398,0.392,0.335,0.288,0.308,0.306,0.362,0.396,0.347,0.345,0.202,0.377,0.378,0.368,0.238,0.147,0.333,0.306,0.362,0.347,0.203,0.377,0.378,0.367,0.393,0.39,0.333,0.288,0.29,0.306,0.361,0.395,0.346,0.377,0.202,0.381,0.38,0.368,0.402,0.393,0.306,0.361,0.396,0.346,0.378,0.202,0.377,0.376,0.366,0.398,0.392,0.338,0.289,0.3,0.306,0.346,0.202,0.377,0.378,0.367,0.399,0.39,0.332,0.286,0.307,0.307,0.362,0.395,0.347,0.378,0.202,0.381,0.38,0.368,0.401,0.393,0.337,0.292,0.304
AP large,0.582,0.567,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.567,0.172,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.497,0.172,0.47,0.445,0.448,0.486,0.508,0.414,0.389,0.437,0.511,0.582,0.567,0.172,0.47,0.445,0.448,0.486,0.508,0.42,0.394,0.44,0.511,0.581,0.592,0.567,0.524,0.172,0.47,0.447,0.449,0.283,0.208,0.405,0.512,0.581,0.566,0.173,0.47,0.447,0.449,0.475,0.509,0.408,0.394,0.421,0.511,0.582,0.592,0.567,0.578,0.172,0.472,0.443,0.45,0.491,0.51,0.511,0.581,0.593,0.567,0.578,0.172,0.47,0.445,0.448,0.486,0.509,0.414,0.389,0.437,0.512,0.567,0.172,0.47,0.448,0.449,0.486,0.509,0.413,0.392,0.442,0.511,0.581,0.592,0.567,0.578,0.172,0.472,0.443,0.45,0.491,0.51,0.412,0.398,0.447
AR,0.29,0.285,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.269,0.29,0.285,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.269,0.29,0.257,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.268,0.291,0.285,0.143,0.281,0.277,0.279,0.289,0.289,0.254,0.235,0.243,0.268,0.29,0.305,0.285,0.271,0.143,0.281,0.279,0.28,0.213,0.161,0.249,0.268,0.291,0.285,0.143,0.282,0.279,0.28,0.285,0.29,0.249,0.236,0.235,0.269,0.29,0.305,0.285,0.301,0.144,0.283,0.277,0.281,0.291,0.289,0.268,0.29,0.305,0.285,0.301,0.143,0.281,0.277,0.279,0.289,0.289,0.253,0.236,0.242,0.268,0.285,0.143,0.281,0.279,0.279,0.289,0.288,0.249,0.234,0.242,0.268,0.291,0.305,0.285,0.301,0.144,0.283,0.277,0.281,0.291,0.289,0.252,0.237,0.244
AR@.5,0.444,0.433,0.45,0.445,0.451,0.467,0.469,0.412,0.379,0.392,0.411,0.444,0.433,0.271,0.45,0.445,0.451,0.467,0.469,0.412,0.379,0.392,0.411,0.444,0.39,0.271,0.45,0.445,0.451,0.467,0.469,0.412,0.379,0.392,0.41,0.444,0.433,0.271,0.45,0.445,0.451,0.467,0.469,0.412,0.379,0.393,0.411,0.444,0.471,0.434,0.419,0.271,0.451,0.453,0.454,0.342,0.266,0.406,0.411,0.444,0.433,0.271,0.451,0.453,0.455,0.465,0.471,0.405,0.38,0.38,0.411,0.444,0.471,0.433,0.465,0.271,0.454,0.447,0.455,0.471,0.471,0.41,0.444,0.471,0.433,0.465,0.271,0.45,0.445,0.451,0.467,0.469,0.412,0.379,0.392,0.411,0.433,0.271,0.45,0.453,0.451,0.467,0.468,0.407,0.376,0.394,0.411,0.444,0.471,0.434,0.465,0.271,0.455,0.447,0.455,0.471,0.471,0.407,0.381,0.393
AR@.75,0.477,0.467,0.495,0.482,0.493,0.512,0.515,0.455,0.414,0.432,0.463,0.477,0.467,0.316,0.495,0.482,0.493,0.512,0.515,0.455,0.414,0.432,0.463,0.477,0.42,0.316,0.495,0.482,0.493,0.512,0.515,0.455,0.414,0.432,0.463,0.477,0.467,0.316,0.495,0.482,0.494,0.512,0.515,0.453,0.413,0.432,0.464,0.477,0.508,0.467,0.451,0.316,0.496,0.505,0.499,0.379,0.303,0.449,0.464,0.477,0.467,0.317,0.496,0.505,0.502,0.514,0.521,0.448,0.413,0.417,0.463,0.477,0.507,0.467,0.501,0.317,0.499,0.485,0.498,0.516,0.516,0.463,0.477,0.508,0.467,0.501,0.316,0.495,0.482,0.494,0.512,0.515,0.455,0.414,0.432,0.463,0.467,0.316,0.495,0.503,0.494,0.513,0.514,0.448,0.41,0.432,0.463,0.477,0.508,0.467,0.501,0.317,0.5,0.486,0.499,0.517,0.517,0.449,0.416,0.431
AR small,0.174,0.169,0.27,0.289,0.293,0.301,0.315,0.262,0.217,0.227,0.153,0.174,0.169,0.192,0.27,0.289,0.293,0.301,0.315,0.262,0.217,0.227,0.153,0.174,0.149,0.192,0.27,0.289,0.293,0.301,0.315,0.262,0.217,0.227,0.152,0.173,0.168,0.192,0.271,0.289,0.294,0.3,0.315,0.255,0.215,0.224,0.152,0.173,0.208,0.169,0.177,0.193,0.27,0.316,0.297,0.212,0.164,0.269,0.152,0.173,0.167,0.196,0.27,0.316,0.3,0.309,0.322,0.26,0.215,0.214,0.153,0.174,0.208,0.169,0.203,0.193,0.271,0.29,0.295,0.305,0.319,0.152,0.173,0.208,0.168,0.203,0.192,0.27,0.289,0.293,0.302,0.316,0.262,0.217,0.227,0.152,0.167,0.192,0.27,0.318,0.291,0.3,0.314,0.253,0.213,0.221,0.151,0.173,0.209,0.169,0.204,0.193,0.271,0.291,0.297,0.316,0.32,0.255,0.21,0.224
AR medium,0.518,0.507,0.551,0.532,0.542,0.563,0.566,0.506,0.451,0.468,0.505,0.518,0.507,0.393,0.551,0.532,0.542,0.563,0.566,0.506,0.451,0.468,0.505,0.518,0.461,0.393,0.551,0.532,0.542,0.563,0.566,0.506,0.451,0.468,0.504,0.518,0.508,0.393,0.551,0.532,0.542,0.563,0.565,0.501,0.448,0.475,0.505,0.518,0.561,0.509,0.498,0.393,0.552,0.557,0.549,0.416,0.324,0.498,0.505,0.519,0.508,0.395,0.552,0.557,0.552,0.569,0.574,0.497,0.449,0.456,0.505,0.518,0.56,0.507,0.548,0.394,0.556,0.537,0.546,0.565,0.566,0.504,0.518,0.561,0.508,0.549,0.393,0.551,0.532,0.542,0.563,0.565,0.506,0.451,0.468,0.504,0.507,0.393,0.552,0.555,0.544,0.565,0.563,0.495,0.448,0.474,0.505,0.518,0.561,0.508,0.549,0.395,0.557,0.537,0.547,0.566,0.567,0.497,0.453,0.468
AR large,0.776,0.761,0.631,0.602,0.616,0.646,0.656,0.576,0.549,0.585,0.768,0.776,0.761,0.354,0.631,0.602,0.616,0.646,0.656,0.576,0.549,0.585,0.768,0.776,0.688,0.354,0.631,0.602,0.616,0.646,0.656,0.576,0.549,0.585,0.768,0.776,0.761,0.354,0.632,0.601,0.616,0.646,0.656,0.584,0.552,0.586,0.769,0.776,0.781,0.76,0.703,0.354,0.633,0.616,0.621,0.464,0.367,0.567,0.769,0.775,0.76,0.355,0.632,0.616,0.623,0.642,0.661,0.568,0.546,0.563,0.768,0.776,0.782,0.761,0.779,0.353,0.64,0.601,0.621,0.651,0.657,0.767,0.775,0.781,0.761,0.779,0.354,0.631,0.601,0.616,0.643,0.656,0.576,0.549,0.585,0.768,0.761,0.355,0.632,0.619,0.615,0.643,0.657,0.572,0.549,0.586,0.768,0.776,0.781,0.761,0.779,0.353,0.639,0.601,0.623,0.652,0.657,0.569,0.558,0.589
Inference Time,13.292,9.479,10.593,17.563,5.931,6.227,5.975,2.507,1.514,1.829,20.609,13.251,9.376,16.814,10.563,17.61,5.769,6.145,5.998,2.526,1.513,1.827,19.839,13.318,9.405,16.769,10.508,17.372,5.823,6.155,5.965,2.522,1.501,1.815,29.097,21.046,16.975,21.122,12.363,22.1,8.664,8.961,8.699,2.967,2.289,2.72,709.377,1088.126,1645.479,626.926,1249.282,238.01,95.805,135.31,74.248,63.093,61.484,122.44,215.226,239.351,180.47,55.293,40.123,54.295,40.074,55.362,57.353,54.135,2.209,2.558,13.285,13.278,81.716,9.269,74.623,16.538,10.524,17.649,5.841,6.2,6.06,15.386,9.366,57.711,6.376,54.947,10.754,7.291,12.89,5.359,5.624,5.445,1.69,0.997,1.21,23.967,13.661,17.983,13.306,20.87,8.889,9.675,9.333,3.205,1.786,2.168,12.178,9.366,53.997,6.154,45.153,8.347,6.233,12.373,4.3,5.207,4.486,1.689,0.77,0.931
Min Memory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,4,6,21,3,3,3,15,6,4,6,18,4,20,8,12,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
Peak Memory,26,19,15,13,16,7,12,28,13,11,29,28,19,7,14,12,13,10,11,30,11,10,25,24,20,8,9,12,17,8,11,29,12,10,221,169,133,70,38,24,27,27,25,23,20,23,20,13,15,15,15,18,35,47,35,32,35,41,45,48,44,86,44,65,49,45,42,50,30,32,30,30,146,18,142,7,12,15,16,12,11,234,195,701,147,648,92,52,40,51,49,47,34,36,29,228,136,89,36,40,37,36,36,36,34,32,221,169,700,134,647,73,43,30,41,43,44,26,28,26
Compute Units NPU,872,804,181,215,267,333,359,228,280,372,843,872,804,161,181,215,267,333,359,228,280,372,843,872,804,161,181,215,267,333,359,228,280,372,843,872,804,161,181,215,267,333,359,228,281,372,0,0,0,0,0,0,0,1,1,1,1,0,224,219,219,28,23,1,10,17,17,0,280,372,872,872,873,804,805,161,181,215,267,333,359,843,856,857,788,789,160,180,215,290,356,382,228,280,372,843,804,161,181,215,267,333,359,228,281,372,843,856,857,788,789,160,180,215,290,356,382,228,281,373
Compute Units GPU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,122,145,244,310,336,146,76,144,76,32,110,145,227,162,170,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compute Units CPU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,856,857,788,789,109,58,69,45,45,45,82,543,509,509,101,48,69,30,154,172,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
